Transparency Data ,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,05/12/2014,T&S UK - Public Transport,Newton Programme Management Team,Unspecified,73018522,44,GBP
BIS,EPSRC,05/12/2014,T&S UK - Subsistence,Newton Programme Management Team,Unspecified,73018522,14.94,GBP
BIS,EPSRC,05/12/2014,T&S UK - Subsistence,Newton Programme Management Team,Unspecified,73018522,20.36,GBP
BIS,EPSRC,05/12/2014,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,73024181,1.68,GBP
BIS,EPSRC,05/12/2014,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,73024181,2.38,GBP
BIS,EPSRC,05/12/2014,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,73024181,2.57,GBP
BIS,EPSRC,05/12/2014,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,73024181,3.56,GBP
BIS,EPSRC,05/12/2014,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,73024181,7.49,GBP
BIS,EPSRC,05/12/2014,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,73024181,24.05,GBP
BIS,EPSRC,05/12/2014,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,73024181,24.05,GBP
BIS,EPSRC,05/12/2014,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,73024181,27.6,GBP
BIS,EPSRC,05/12/2014,Computing Consumables,Strategy,Banner Business Services Limited,73024182,48.26,GBP
BIS,EPSRC,05/12/2014,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,73024184,0.42,GBP
BIS,EPSRC,05/12/2014,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,73024184,1.18,GBP
BIS,EPSRC,05/12/2014,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,73024184,1.68,GBP
BIS,EPSRC,05/12/2014,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,73024184,2.38,GBP
BIS,EPSRC,05/12/2014,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,73024184,2.38,GBP
BIS,EPSRC,05/12/2014,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,73024184,4.14,GBP
BIS,EPSRC,05/12/2014,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,73024184,7.49,GBP
BIS,EPSRC,05/12/2014,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,73024184,7.56,GBP
BIS,EPSRC,05/12/2014,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,73024184,13.8,GBP
BIS,EPSRC,05/12/2014,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,73024184,24.05,GBP
BIS,EPSRC,05/12/2014,Photocopy Costs,JRS,Hulbert & Woodhall Print Ltd,73026065,682.8,GBP
BIS,EPSRC,05/12/2014,Photocopy Costs,JRS,Oce (UK) Ltd,73026969,62.1,GBP
