Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Currency
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Physical Sciences,Lancaster University GRANT,37922013,77507.84,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,LWEC Eng,University College London GRANT,37922014,128966.21,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,LWEC LWEC,University College London GRANT,37922014,128966.17,GBP
BIS,EPSRC,20/12/2013,Capital Grants & Equipment to HEIs,Healthcare Engineering,University of Dundee,37922015,19799.38,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Healthcare Engineering,University of Dundee,37922015,231428.88,GBP
BIS,EPSRC,20/12/2013,Capital Grants & Equipment to HEIs,Manufacturing Physical Sciences,University College London GRANT,37922016,1250,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Manufacturing Physical Sciences,University College London GRANT,37922016,113336.25,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Manufacturing Maths,University of Bristol GRANT,37922017,78436.53,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Energy Energy,University of Strathclyde GRANT,37922018,77733.62,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Infrastructure,ICSTM,37922019,6006.26,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Energy Energy,University College London GRANT,37922020,55695.28,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Engineering,University of Edinburgh,37922021,10084.35,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Maths,University of Oxford GRANT,37922023,22288.28,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Infrastructure,University of Edinburgh,37922024,9338.07,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Physical Sciences,University of Edinburgh,37922024,3112.69,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Infrastructure,King's College London,37922025,12104.61,GBP
