DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,TransactionNumber,Amount,InvoiceCurrencyUnit
BIS,EPSRC,09/06/2015,Fees (Including College Members),Programme Delivery Maths,V Cars Ltd,87896159,168,GBP
BIS,EPSRC,09/06/2015,T&S UK - Other Charges,Admin Research Base Director,V Cars Ltd,87896159,240,GBP
BIS,EPSRC,09/06/2015,T&S UK - Other Charges,Programme Delivery ICT,V Cars Ltd,87896159,13.44,GBP
BIS,EPSRC,09/06/2015,T&S UK - Vehicle Hire,Programme Delivery Impact,V Cars Ltd,87896159,204,GBP
BIS,EPSRC,09/06/2015,T&S UK - Vehicle Hire,Programme Delivery Manufacturing,V Cars Ltd,87896159,18.72,GBP
BIS,EPSRC,09/06/2015,T&S UK - Vehicle Hire,Programme Delivery Maths,V Cars Ltd,87896159,84,GBP
BIS,EPSRC,09/06/2015,Printing & Stationery,JRS,Belmont Press,87948060,3095,GBP
BIS,EPSRC,09/06/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,88002060,160,GBP
BIS,EPSRC,09/06/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,88002061,160,GBP
BIS,EPSRC,09/06/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,88002062,160,GBP
BIS,EPSRC,09/06/2015,Conferences & Seminars,Programme Delivery Healthcare,Calder Conference Ltd,88040060,72,GBP
BIS,EPSRC,09/06/2015,Marketing & PR,Communications and Stakeholder Engagement,Unspecified,88048060,3671.2,GBP
BIS,EPSRC,09/06/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,88076062,160,GBP
BIS,EPSRC,09/06/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,88076063,160,GBP
BIS,EPSRC,09/06/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,88076064,160,GBP
